fc_prime,arm,eccentricity,fpe,area,Axial,Moment,Shear,Pass1,Pass2,Pass3,ComRatio
28,200,0.2,1000,1000,480.96,70.38,57.836702,-3.094814,2.231287,1.151579,0.819076
30,300,0.8,400,750,1782.73,110.02,79.25378,3.64436,0.712339,0.111364,0.118785
40,300,0.1,100,1250,2597.98,35.28,91.430782,-0.373915,0.063252,0.118093,0.060606
60,375,0.6,400,2000,5592.63,320.64,185.679794,2.78244,0.483182,0.138824,0.102525
30,225,1,500,500,968.29,77.33,52.135539,7.405037,1.269579,0.088653,0.168293
70,400,0.4,1200,750,6932.93,339.32,163.189994,1.07829,0.303767,0.161637,0.070608
60,325,0.6,0,1500,4485.83,50.73,114.756707,-0.000183,-1.40E-05,0.070344,0.025303
30,225,0.6,400,2000,1150.29,138.78,84.088626,10.929428,2.687799,0.338631,0.529663
40,325,0.2,500,1750,2769.55,173.69,144.910017,-0.780361,0.512394,0.412629,0.204965
30,275,0.1,200,250,1477.57,12.77,43.381653,-0.207062,0.040236,0.07443,0.036299
70,375,0.1,1000,1750,5918.07,410.47,229.462101,-2.494795,0.321999,0.440803,0.166665
28,375,0.6,50,1250,2870.33,60.36,102.076577,0.317994,0.080865,0.091336,0.042734
50,375,0.1,200,500,4591.19,43.3,93.232509,-0.168844,0.025746,0.0567,0.027509
60,400,1,150,250,6201.58,67.56,82.495271,0.246587,0.03016,0.036756,0.012057
40,225,0.1,200,250,1308.39,10.12,37.966808,-0.272554,0.0454,0.081948,0.039655
40,275,0.8,150,500,2017.76,38.54,60.413191,0.939525,0.158925,0.070922,0.041875
30,400,0.2,800,1500,2915.54,317.87,170.544973,-0.793631,0.61642,0.531065,0.233178
70,375,0.8,200,750,6438.07,123.47,120.379003,0.761632,0.097668,0.057291,0.028661
40,300,0.4,1200,500,2116.98,161.47,90.22224,1.680271,0.631484,0.317047,0.148546
40,275,0.1,200,1000,2108.76,37.29,80.863617,-0.716493,0.120782,0.175714,0.085404
28,325,0.2,0,1250,2264.99,22.24,83.763199,-0.000268,-3.00E-05,0.066095,0.035943
30,325,1,1000,1000,1800.91,471.76,120.473317,14.133719,2.437294,0.232954,0.289115
40,225,0.4,1000,1500,944.39,216.52,90.484252,7.381534,2.812988,0.882817,0.676198
70,350,0.2,1200,1250,5065.58,364.24,191.626418,-0.862656,0.432249,0.388971,0.155533
50,225,0.2,1000,2000,1154.48,188.4,108.927661,-3.558991,1.969323,1.162761,0.719373
28,200,0.4,50,1000,974.96,17.06,46.058115,0.369083,0.169624,0.191007,0.102535
60,250,0.8,500,2000,2446.84,276.08,137.604369,12.388039,1.709294,0.179828,0.264233
70,200,0.4,400,750,1800.4,52.47,67.520052,1.401925,0.407192,0.200923,0.118558
50,250,0.8,50,500,2095.37,24.25,56.02231,0.339008,0.051258,0.069217,0.027882
40,375,0.8,400,500,3641.75,123.41,91.371965,1.343458,0.227898,0.078049,0.045761
40,250,0.8,50,1500,1990.9,48.38,76.875136,1.137647,0.192271,0.147482,0.071805
30,200,1,150,2000,1206.17,85.76,69.978824,11.257663,1.92627,0.176133,0.321374
50,250,0.8,0,1750,2498.37,38.21,83.350283,-0.000259,-2.20E-05,0.140554,0.044371
30,325,1,1200,1750,1462.91,863.75,136.790388,29.681095,5.118349,0.137174,0.585892
30,300,0.8,400,1250,1834.73,168.54,100.459726,6.074119,1.187253,0.133224,0.190431
50,400,0.6,800,500,5067.23,234.09,113.808207,1.338931,0.254731,0.129083,0.056118
28,300,0.4,50,1000,1877.09,30.28,72.976021,0.167094,0.075147,0.101434,0.050957
40,300,0.4,400,1500,2428.98,142.58,118.182249,1.680271,0.631484,0.267006,0.173161
30,400,1,100,1750,3526.54,150.26,130.564994,1.628164,0.281581,0.098642,0.061983
30,375,0.4,100,1750,3147.32,84.71,121.504003,0.363843,0.156868,0.124757,0.069377
40,400,0.4,50,2000,4667.39,86.13,145.684181,0.158331,0.05905,0.085223,0.042157
50,300,0.1,400,1500,2997.22,100.46,125.2231,-1.604485,0.242958,0.307445,0.14105
50,250,0.2,800,1000,1848.37,133.24,105.166277,-1.128114,0.636605,0.556539,0.244413
30,375,0.2,1200,750,2458.32,227.65,126.170296,-0.682612,0.526542,0.461583,0.188949
28,200,0.2,200,1750,1052.96,39.46,66.820482,-1.083463,0.78092,0.59434,0.368534
70,375,0.2,1000,750,6126.07,243.01,147.379003,-0.37242,0.188049,0.205959,0.077817
50,275,0.1,50,500,2518.95,14.91,62.567528,-0.080313,0.012061,0.045839,0.024887
50,250,0.1,0,250,2030.37,7.54,43.572024,-0.000259,-2.20E-05,0.027748,0.016428
60,300,1,100,1250,3734.47,90.54,103.8481,1.467589,0.178746,0.080954,0.04413
40,350,1,800,250,3091.48,144.55,69.236751,2.108593,0.315242,0.101386,0.047958
70,300,0.8,200,2000,4393.71,167.75,138.939795,3.181118,0.407055,0.095508,0.082606
50,300,0.6,150,1750,3250.72,102.16,115.21457,1.563703,0.297493,0.124361,0.08192
60,400,0.6,0,1000,6455.08,66.96,128.274341,-0.00015,-1.20E-05,0.049584,0.017673
30,250,0.8,150,250,1229.92,18.82,38.437568,0.656654,0.128162,0.065415,0.036116
60,200,1,1200,1750,930.34,477.78,98.122258,55.724315,6.742077,-0.121307,0.796612
30,400,0.2,1000,250,3019.54,91.46,75.387171,-0.165507,0.128402,0.148022,0.05497
50,250,1,200,750,2108.37,63.66,69.591733,2.784368,0.370424,0.070075,0.065747
70,250,0.6,800,1000,2629.32,225.4,113.375549,5.799013,0.932962,0.30337,0.176909
40,200,0.8,50,2000,1556.23,45.79,66.662989,2.372363,0.400199,0.257183,0.138134
60,350,0.6,0,250,4754.21,30.23,68.953867,-0.00017,-1.30E-05,0.033512,0.011689
40,250,0.2,50,250,1633.4,8.95,41.011184,-0.019992,0.012407,0.042465,0.021821
28,375,0.8,400,250,2538.83,71.11,62.549984,0.802753,0.162771,0.073891,0.036162
50,200,1,150,1500,1581.28,71.41,70.964969,6.540029,0.866815,0.130482,0.150741
40,375,0.6,400,2000,3797.75,296.92,166.757344,3.407779,0.724773,0.176222,0.148481
50,225,0.2,1200,500,1414.48,91.24,75.475167,-1.067898,0.59078,0.524476,0.21549
30,200,0.4,800,1000,634.17,103.93,59.857901,5.711293,2.533712,0.816822,0.624781
28,350,0.1,1200,2000,1558.23,313.39,151.403508,-6.235711,1.269581,1.235277,0.61662
28,400,0.8,50,1000,3152.77,67.62,101.74671,0.352411,0.071509,0.079532,0.033466
50,300,0.2,1200,1000,2529.22,236.12,139.805782,-1.137176,0.660754,0.567406,0.2374
70,275,0.2,500,1500,3404.33,137.48,132.883135,-0.725597,0.351632,0.306874,0.145946
28,250,0.1,400,250,1119.33,17.58,40.414548,-0.522382,0.104703,0.156599,0.06754
70,350,0.8,100,250,5520.58,46.11,73.714569,0.145696,0.018679,0.036546,0.012409
30,325,0.1,1200,250,1930.91,62.89,63.624609,-0.877744,0.1721,0.24116,0.083999
40,350,0.4,500,1250,3182.48,188.91,131.128395,1.290737,0.48267,0.229011,0.130962
50,325,0.4,150,750,3523.69,51.29,90.774375,0.24043,0.080642,0.071166,0.037288
30,200,1,50,750,952.67,22.07,42.41578,1.406846,0.240745,0.158696,0.074983
28,225,0.2,50,500,1022.47,9.5,41.080998,-0.059826,0.043916,0.090527,0.047045
30,275,0.1,150,750,1601.07,23.92,64.384609,-0.465509,0.090572,0.145325,0.071607
40,225,0.8,400,500,1308.39,56.52,54.000359,3.748172,0.632841,0.11046,0.109165
40,300,0.8,800,1750,2090.98,492.02,142.272348,14.729387,2.493272,0.333008,0.361393
50,400,0.8,200,250,5171.23,66.05,78.293024,0.26372,0.040045,0.043143,0.01567
30,325,0.2,800,1500,1852.91,233.2,131.987919,-1.235676,0.93696,0.740641,0.347863
70,400,0.8,1000,1000,6958.93,599.24,180.037811,4.460316,0.572262,0.158158,0.089416
40,250,0.4,1200,2000,937.9,306.84,112.700682,9.615731,3.642714,0.777228,0.85701
30,375,0.1,800,250,2666.32,64.33,68.400466,-0.435727,0.085845,0.148908,0.053911
28,250,0.4,400,750,1171.33,59.41,65.297742,1.436322,0.650451,0.277103,0.178797
50,350,0.1,500,750,3935.84,93.41,110.459795,-0.729279,0.111075,0.167202,0.068806
30,225,0.2,150,2000,1410.29,45.42,78.401748,-0.68951,0.492297,0.435391,0.254329
70,225,1,100,1500,2588.67,70.74,84.961223,2.908543,0.326456,0.110756,0.072096
70,250,0.1,1000,2000,2317.32,243.38,153.142882,-6.603526,0.837915,0.968268,0.419805
30,225,0.6,50,1000,1228.29,24.42,53.762551,0.682743,0.16795,0.153948,0.078355
40,325,1,200,2000,3094.55,195.07,128.338541,4.895928,0.731176,0.083134,0.116508
30,200,0.8,150,1000,972.17,40.78,51.577272,4.10926,0.80042,0.17838,0.167126
70,325,1,800,1250,4557.46,522.06,158.684151,9.252689,1.044555,0.159613,0.132308
