fc' [Mpa],Arm Length [mm],eccentricity [arm ratio],Post Tensioned stress,Steel area,Axial,Moment,Shear,Trans Ten,Trans Comp,Ser Comp,Compression ratio
40.00,200.00,0.30,250.00,1500.00,1257.23,50.41,73.35,0.67,0.74,0.41,0.27
40.00,200.00,0.30,150.00,1500.00,1335.23,37.31,66.60,0.40,0.44,0.31,0.19
28.00,450.00,0.30,800.00,1500.00,3488.70,424.82,185.05,0.58,0.66,0.43,0.20
30.00,450.00,0.30,800.00,1750.00,3723.03,487.15,204.17,0.65,0.72,0.46,0.21
40.00,450.00,0.30,800.00,3000.00,4894.71,790.89,291.97,0.97,0.92,0.55,0.27
60.00,450.00,0.30,800.00,3000.00,7498.07,862.48,320.86,0.79,0.62,0.40,0.18
60.00,450.00,0.30,800.00,3500.00,7446.07,974.30,350.09,0.92,0.72,0.46,0.21
40.00,200.00,0.30,1300.00,250.00,893.23,48.12,45.71,0.58,0.64,0.40,0.17
40.00,200.00,0.30,150.00,1500.00,1335.23,37.31,66.60,0.40,0.44,0.31,0.19
40.00,200.00,0.30,100.00,3000.00,1764.23,52.87,84.66,0.54,0.59,0.44,0.28
70.00,450.00,0.30,800.00,3000.00,8799.75,889.50,332.09,0.73,0.53,0.36,0.16
70.00,450.00,0.30,800.00,4000.00,8695.75,1118.24,390.64,0.98,0.70,0.45,0.21
30.00,450.00,0.30,1000.00,1750.00,3541.03,598.01,219.92,0.82,0.90,0.56,0.26
40.00,450.00,0.30,1000.00,1500.00,4894.71,556.02,215.09,0.61,0.58,0.39,0.17
40.00,200.00,0.30,150.00,1750.00,1393.73,42.26,71.27,0.47,0.52,0.35,0.22
40.00,500.00,0.30,400.00,4000.00,6867.45,562.51,304.11,0.53,0.50,0.28,0.16
40.00,450.00,0.30,1000.00,1750.00,4842.71,631.32,234.12,0.71,0.67,0.44,0.20
50.00,450.00,0.30,1000.00,2000.00,6092.39,732.97,264.99,0.72,0.62,0.41,0.18
40.00,200.00,0.30,200.00,2000.00,1400.23,55.27,80.16,0.72,0.79,0.45,0.30
50.00,200.00,0.30,150.00,1750.00,1639.78,44.06,75.86,0.42,0.41,0.29,0.17
50.00,200.00,0.30,400.00,1500.00,1386.28,75.54,85.89,0.96,0.94,0.49,0.31
50.00,200.00,0.30,1200.00,500.00,1074.28,89.74,67.24,0.96,0.94,0.59,0.28
50.00,200.00,0.30,50.00,3000.00,2088.28,41.72,83.40,0.24,0.24,0.29,0.16
50.00,200.00,0.30,1000.00,500.00,1126.28,79.63,64.68,0.80,0.79,0.53,0.24
50.00,400.00,0.30,800.00,2000.00,4911.23,510.91,224.09,0.72,0.62,0.41,0.19
60.00,450.00,0.30,1000.00,2000.00,7394.07,757.07,275.95,0.66,0.51,0.36,0.15
50.00,400.00,0.30,1300.00,1250.00,4664.23,470.04,203.16,0.74,0.63,0.37,0.16
50.00,400.00,0.30,1000.00,1750.00,4755.23,561.21,224.22,0.79,0.68,0.45,0.20
50.00,400.00,0.30,400.00,3000.00,5431.23,343.20,228.10,0.54,0.47,0.27,0.15
50.00,400.00,0.30,800.00,1750.00,4937.23,459.29,208.47,0.63,0.55,0.37,0.17
70.00,450.00,0.30,1000.00,2500.00,8591.75,934.73,323.38,0.76,0.55,0.38,0.16
50.00,200.00,0.30,400.00,1500.00,1386.28,75.54,85.89,0.96,0.94,0.49,0.31
60.00,200.00,0.30,150.00,3500.00,2295.34,79.70,109.38,0.77,0.69,0.44,0.28
28.00,450.00,0.30,1200.00,1000.00,3332.70,416.06,168.48,0.58,0.66,0.42,0.18
60.00,400.00,0.30,1200.00,1500.00,5675.08,564.05,227.84,0.74,0.59,0.38,0.16
30.00,450.00,0.30,1200.00,1000.00,3593.03,419.30,171.14,0.56,0.62,0.39,0.17
60.00,200.00,0.30,400.00,1250.00,1606.34,68.24,83.34,0.73,0.66,0.37,0.22
60.00,200.00,0.30,400.00,1000.00,1580.34,57.14,74.48,0.59,0.52,0.31,0.18
60.00,200.00,0.30,200.00,2500.00,1996.34,71.83,99.15,0.73,0.66,0.39,0.25
30.00,450.00,0.30,1200.00,1500.00,3437.03,594.70,213.61,0.84,0.92,0.55,0.26
60.00,200.00,0.30,50.00,3500.00,2477.34,48.90,93.63,0.26,0.23,0.28,0.16
60.00,400.00,0.30,500.00,3500.00,6325.08,500.53,273.51,0.72,0.57,0.33,0.18
60.00,200.00,0.30,100.00,2500.00,2126.34,49.38,87.90,0.37,0.33,0.28,0.16
40.00,450.00,0.30,1200.00,1250.00,4816.71,527.89,206.39,0.61,0.58,0.37,0.16
70.00,200.00,0.30,1000.00,500.00,1618.40,84.93,69.69,0.68,0.56,0.40,0.17
50.00,450.00,0.30,1200.00,2000.00,5884.39,819.49,282.99,0.87,0.74,0.46,0.21
70.00,200.00,0.30,400.00,1500.00,1878.40,81.42,95.06,0.81,0.67,0.38,0.23
70.00,200.00,0.30,200.00,1750.00,2086.40,55.38,87.40,0.48,0.39,0.26,0.15
70.00,200.00,0.30,250.00,2000.00,2086.40,70.99,97.41,0.68,0.56,0.33,0.20
70.00,200.00,0.30,200.00,2000.00,2138.40,61.79,92.91,0.54,0.45,0.29,0.17
70.00,400.00,0.30,1000.00,2500.00,6646.93,798.76,295.77,0.96,0.70,0.46,0.21
70.00,450.00,0.30,1200.00,2500.00,8331.75,1040.16,345.88,0.92,0.66,0.42,0.18
40.00,450.00,0.30,1300.00,1750.00,4569.71,708.92,257.75,0.92,0.88,0.49,0.23
